bhk,locality,Price,sqft,status,Possession,price_per_sqft,Age_old,bath
2,Ravet,45 L,1000,Under Construction,Possession by Dec 2022,"4,500 / sq ft",,2
1,Tathawade,36 L,670,Under Construction,Possession by Jun 2026,"5,373 / sq ft",,1
2,Tathawade,59 L,1100,Under Construction,Possession by Aug 2025,"5,363 / sq ft",,2
2,Ravet,54 L,1100,Under Construction,Possession by Mar 2025,"4,909 / sq ft",,2
1,Bavdhan,37.5 L,664,Under Construction,Possession by Jun 2024,"5,647 / sq ft",,1
3,Bavdhan,80 L,1374,Under Construction,Possession by Jun 2024,"5,822 / sq ft",,3
3,Bavdhan,85 L,1018,Under Construction,Possession by Dec 2023,"8,349 / sq ft",,
1,Bavdhan,37.5 L,492,Under Construction,Possession by Dec 2023,"7,621 / sq ft",,
2,Bavdhan,61 L,774,Under Construction,Possession by Dec 2023,"7,881 / sq ft",,
3,Bavdhan,70.06 L,891,Under Construction,Possession by Dec 2023,"7,863 / sq ft",,
5,Aundh,5.48 Cr,3132,Ready to move,,"17,500 / sq ft",1,
5,Aundh,6.81 Cr,3897,Ready to move,,"17,500 / sq ft",1,
4,Aundh,4.52 Cr,2585,Ready to move,,"17,500 / sq ft",1,
5,Aundh,6.6 Cr,3773,Ready to move,,"17,500 / sq ft",1,
3,Aundh,3.23 Cr,1851,Ready to move,,"17,500 / sq ft",1,
4,Aundh,3.68 Cr,2104,Ready to move,,"17,500 / sq ft",1,
4,Aundh,3.68 Cr,2103,Ready to move,,"17,500 / sq ft",1,
6,Aundh,6.76 Cr,3863,Ready to move,,"17,500 / sq ft",1,
4,Aundh,4.13 Cr,2363,Ready to move,,"17,500 / sq ft",1,
5,Aundh,6.59 Cr,3771,Ready to move,,"17,500 / sq ft",1,
1,Bavdhan,34 L,600,Under Construction,Possession by Jun 2024,"5,666 / sq ft",,1
2,Sangamvadi,2.2 Cr,1800,Ready to move,,"12,222 / sq ft",11,3
3,Hinjewadi,70 L,1340,Under Construction,,"5,223 / sq ft",,3
1,Ambegaon 1,31.99 L,610,Ready to move,,"5,245 / sq ft",1,1
2,Mundhwa,42.69 L,949,Under Construction,,"4,499 / sq ft",,2
2,Kharadi,60 L,916,Under Construction,Possession by Sep 2024,"6,550 / sq ft",,2
1,Mundhwa,45 L,680,Ready to move,,"6,617 / sq ft",1,1
2,Mundhwa,49 L,801,Ready to move,,"6,117 / sq ft",1,2
2,Mundhwa,54.49 L,1016,Ready to move,,"5,363 / sq ft",,2
4,Baner,3 Cr,3159,Ready to move,,"9,500 / sq ft",5,
3,Baner,2.12 Cr,2238,Ready to move,,"9,500 / sq ft",5,
3,Baner,2.6 Cr,2087,Ready to move,,"12,458 / sq ft",5,2
1,Hinjewadi,63.5 L,905,Under Construction,Possession by Sep 2022,"7,016 / sq ft",,2
2,Karve Nagar,1.25 Cr,1080,Ready to move,,"11,574 / sq ft",,
3,Deccan Gymkhana,2.1 Cr,1350,Ready to move,,"15,555 / sq ft",,
2,Kothrud,95 L,1010,Ready to move,,"9,405 / sq ft",,
3,Kothrud,1.47 Cr,1600,Ready to move,,"9,187 / sq ft",,
2,Shivaji Nagar,1.45 Cr,1130,Ready to move,,"12,831 / sq ft",,
2,Kothrud,1.05 Cr,900,Ready to move,,"11,666 / sq ft",,
3,Kothrud,1.6 Cr,1576,Ready to move,,"10,152 / sq ft",,
3,Baner,1.37 Cr,957,Under Construction,Possession by May 2025,"14,374 / sq ft",,
2,Baner,1.06 Cr,849,Under Construction,Possession by May 2025,"12,573 / sq ft",,
2,Baner,1.07 Cr,855,Under Construction,Possession by May 2025,"12,577 / sq ft",,
3,Baner,1.46 Cr,1021,Under Construction,Possession by May 2025,"14,376 / sq ft",,
3,Baner,1.39 Cr,974,Under Construction,Possession by May 2025,"14,371 / sq ft",,
3,Baner,1.41 Cr,982,Under Construction,Possession by May 2025,"14,374 / sq ft",,
2,Baner,99.56 L,792,Under Construction,Possession by May 2025,"12,571 / sq ft",,
3,Baner,1.36 Cr,951,Under Construction,Possession by May 2025,"14,367 / sq ft",,
3,Baner,1.37 Cr,957,Under Construction,Possession by May 2025,"14,367 / sq ft",,
3,Baner,1.29 Cr,905,Under Construction,Possession by May 2025,"14,380 / sq ft",,
3,Baner,1.37 Cr,956,Under Construction,Possession by May 2025,"14,380 / sq ft",,
2,Baner,83.99 L,668,Under Construction,Possession by May 2025,"12,574 / sq ft",,
2,Hinjewadi,44.19 L,560,Under Construction,Possession by Jun 2024,"7,891 / sq ft",,
1,Hinjewadi,32.04 L,394,Under Construction,Possession by Jun 2024,"8,154 / sq ft",,
2,Manjari,70 L,992,Under Construction,Possession by Mar 2025,"7,056 / sq ft",,2
3,Kharadi,1.46 Cr,1890,Under Construction,,"7,724 / sq ft",,2
2,Mundhwa,67 L,804,Under Construction,,"8,333 / sq ft",,2
3,Mundhwa,88 L,1060,Under Construction,,"8,301 / sq ft",,3
3,Mundhwa,1.05 Cr,1431,Under Construction,,"7,337 / sq ft",,6
2,Kharadi,99 L,1323,Under Construction,,"7,482 / sq ft",,5
2,Mundhwa,66.49 L,1082,Under Construction,,"6,145 / sq ft",,2
2,Mundhwa,82 L,1087,Under Construction,,"7,543 / sq ft",,4
3,Kharadi,1.25 Cr,1928,Under Construction,,"6,483 / sq ft",,3
2,Tathawade,55.44 L,532,Under Construction,Possession by Dec 2024,"10,422 / sq ft",,
2,Tathawade,55.3 L,530,Under Construction,Possession by Dec 2024,"10,455 / sq ft",,
2,Tathawade,55 L,499,Under Construction,Possession by Dec 2024,"11,046 / sq ft",,
2,Tathawade,55.25 L,526,Under Construction,Possession by Dec 2024,"10,505 / sq ft",,
2,Tathawade,55.02 L,502,Under Construction,Possession by Dec 2024,"10,984 / sq ft",,
2,Tathawade,61.88 L,688,Under Construction,Possession by Dec 2024,"8,995 / sq ft",,
2,Tathawade,55.02 L,500,Under Construction,Possession by Dec 2024,"11,004 / sq ft",,
2,Tathawade,61.22 L,664,Under Construction,Possession by Dec 2024,"9,235 / sq ft",,
2,Tathawade,54.99 L,497,Under Construction,Possession by Dec 2024,"11,066 / sq ft",,
2,Tathawade,55.29 L,529,Under Construction,Possession by Dec 2024,"10,453 / sq ft",,
2,Hinjewadi,44.19 L,560,Under Construction,Possession by Jun 2024,"7,891 / sq ft",,
1,Hinjewadi,32.04 L,394,Under Construction,Possession by Jun 2024,"8,154 / sq ft",,
2,Tathawade,49.99 L,494,Under Construction,Possession by Jul 2023,"10,119 / sq ft",,
2,Tathawade,54.4 L,538,Under Construction,Possession by Jul 2023,"10,130 / sq ft",,
2,Tathawade,54.27 L,536,Under Construction,Possession by Jul 2023,"10,125 / sq ft",,
2,Tathawade,50.51 L,499,Under Construction,Possession by Jul 2023,"10,122 / sq ft",,
2,Tathawade,56.03 L,554,Under Construction,Possession by Jul 2023,"10,132 / sq ft",,
1,Dhanori,24.66 L,406,Ready to move,,"6,075 / sq ft",1,1
1,Dhanori,27.45 L,610,Ready to move,,"4,500 / sq ft",1,1
1,Dhanori,29.25 L,650,Ready to move,,"4,500 / sq ft",1,1
2,Dhanori,40.05 L,890,Ready to move,,"4,500 / sq ft",1,2
2,Dhanori,46.8 L,1040,Ready to move,,"4,500 / sq ft",1,2
2,Dhanori,47.02 L,1045,Ready to move,,"4,500 / sq ft",1,2
2,Dhanori,42.72 L,703,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,42.95 L,707,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,43.09 L,709,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,43.22 L,712,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,42.67 L,702,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,42.62 L,702,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,42.63 L,702,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,42.64 L,702,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,42.68 L,703,Ready to move,,"6,075 / sq ft",1,2
1,Dhanori,24.91 L,410,Ready to move,,"6,075 / sq ft",1,1
1,Dhanori,24.92 L,410,Ready to move,,"6,075 / sq ft",1,1
1,Dhanori,25.18 L,415,Ready to move,,"6,075 / sq ft",1,1
1,Dhanori,25.19 L,415,Ready to move,,"6,075 / sq ft",1,1
1,Dhanori,24.67 L,406,Ready to move,,"6,075 / sq ft",1,1
2,Dhanori,35.23 L,580,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,35.25 L,580,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,35.36 L,582,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,36.97 L,609,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,37.05 L,610,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,47.25 L,1050,Ready to move,,"4,500 / sq ft",1,2
2,Dhanori,53.1 L,1180,Ready to move,,"4,500 / sq ft",1,2
2,Dhanori,57.82 L,1285,Ready to move,,"4,500 / sq ft",1,2
2,Dhanori,48.7 L,802,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,50.88 L,838,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,48.87 L,804,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,44.68 L,736,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,44.55 L,733,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,44.35 L,730,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,48.66 L,801,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,48.72 L,802,Ready to move,,"6,075 / sq ft",1,2
2,Dhanori,50.87 L,837,Ready to move,,"6,075 / sq ft",1,2
1,Hinjewadi,30.44 L,662,Under Construction,,"4,599 / sq ft",,2
1,Hinjewadi,30.35 L,660,Under Construction,,"4,599 / sq ft",,2
1,Hinjewadi,30.62 L,666,Under Construction,,"4,599 / sq ft",,2
2,Hinjewadi,37.23 L,500,Under Construction,,"6,705 / sq ft",,2
2,Hinjewadi,43.9 L,587,Under Construction,,"6,730 / sq ft",,2
2,Hinjewadi,45.17 L,606,Under Construction,,"6,713 / sq ft",,2
2,Mundhwa,35.09 L,780,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
2,Mundhwa,40.31 L,896,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
2,Mundhwa,43.91 L,976,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
2,Mundhwa,42.69 L,949,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
2,Mundhwa,42.83 L,952,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
