Country,Male,Female,Male (%),Female ( %),Population
1960 [YR1960],232504741,218042938,51.6049137,48.3950863,450547679
1961 [YR1961],237313421,222328744,51.6300374,48.3699626,459642165
1962 [YR1962],242296454,226780736,51.6538556,48.3461444,469077190
1963 [YR1963],247438411,231387197,51.6761023,48.3238977,478825608
1964 [YR1964],252717316,236130819,51.6964877,48.3035123,488848135
1965 [YR1965],258120907,241002417,51.7148557,48.2851443,499123324
1966 [YR1966],263638001,245993499,51.731104,48.268896,509631500
1967 [YR1967],269283161,251117415,51.7453619,48.2546381,520400576
1968 [YR1968],275100841,256412983,51.7579842,48.2420158,531513824
1969 [YR1969],281151625,261932711,51.7694225,48.2305775,543084336
1970 [YR1970],287477047,267712745,51.7799591,48.2200409,555189792
1971 [YR1971],294098353,273769665,51.7899132,48.2100868,567868018
1972 [YR1972],300998427,280088829,51.7991788,48.2008212,581087256
1973 [YR1973],308133554,286636580,51.8071666,48.1928334,594770134
1974 [YR1974],315439602,293362998,51.8131167,48.1868833,608802600
1975 [YR1975],322871273,300231624,51.8166863,48.1833137,623102897
1976 [YR1976],330405802,307224285,51.8177873,48.1822127,637630087
1977 [YR1977],338059110,314349666,51.8170697,48.1829303,652408776
1978 [YR1978],345870436,321629370,51.8158108,48.1841892,667499806
1979 [YR1979],353898050,329097304,51.8155867,48.1844133,682995354
1980 [YR1980],362179439,336773405,51.8174354,48.1825646,698952844
1981 [YR1981],370724073,344660920,51.8216172,48.1783828,715384993
1982 [YR1982],379503286,352736218,51.8277536,48.1722464,732239504
1983 [YR1983],388469530,360959428,51.8354043,48.1645957,749428958
1984 [YR1984],397556537,369276873,51.8439249,48.1560751,766833410
1985 [YR1985],406713090,377646918,51.8528591,48.1471409,784360008
1986 [YR1986],415921167,386054077,51.8620955,48.1379045,801975244
1987 [YR1987],425183249,394498853,51.8717253,48.1282747,819682102
1988 [YR1988],434493471,402975459,51.8817422,48.1182578,837468930
1989 [YR1989],443851779,411482899,51.8921762,48.1078238,855334678
1990 [YR1990],453257378,420020420,51.9030003,48.0969997,873277798
1991 [YR1991],462697153,428576056,51.9141772,48.0858228,891273209
1992 [YR1992],472162605,437144411,51.9255429,48.0744571,909307016
1993 [YR1993],481663760,445740100,51.9367862,48.0632138,927403860
1994 [YR1994],491216889,454384942,51.9475399,48.0524601,945601831
1995 [YR1995],500830599,463091989,51.957554,48.042446,963922588
1996 [YR1996],510502544,471862699,51.9666741,48.0333259,982365243
1997 [YR1997],520217327,480682703,51.9749537,48.0250463,1000900030
1998 [YR1998],529954036,489529545,51.9825965,48.0174035,1019483581
1999 [YR1999],539685381,498372775,51.9898984,48.0101016,1038058156
2000 [YR2000],549387865,507187684,51.9970262,48.0029738,1056575549
2001 [YR2001],559042840,515957245,52.003981,47.996019,1075000085
2002 [YR2002],568640651,524676538,52.0105836,47.9894164,1093317189
2003 [YR2003],578176498,533346646,52.0165955,47.9834045,1111523144
2004 [YR2004],587649479,541973977,52.0217136,47.9782864,1129623456
2005 [YR2005],597052215,550557712,52.0257102,47.9742898,1147609927
2006 [YR2006],606386475,559099816,52.0286236,47.9713764,1165486291
2007 [YR2007],615629521,567579951,52.030476,47.969524,1183209472
2008 [YR2008],624720985,575948780,52.0310416,47.9689584,1200669765
2009 [YR2009],633583575,584142640,52.0300513,47.9699487,1217726215
2010 [YR2010],642164185,592116985,52.0273824,47.9726176,1234281170
2011 [YR2011],650437004,599851725,52.0229439,47.9770561,1250288729
2012 [YR2012],658421676,607361114,52.0169559,47.9830441,1265782790
2013 [YR2013],666167747,614678382,52.0099746,47.9900254,1280846129
2014 [YR2014],673749546,621854638,52.0027301,47.9972699,1295604184
2015 [YR2015],681223338,628929065,51.9957324,48.0042676,1310152403
2016 [YR2016],688600704,635908885,51.9891067,48.0108933,1324509589
2017 [YR2017],695871194,642787641,51.982714,48.017286,1338658835
2018 [YR2018],703042609,649574719,51.9764604,48.0235396,1352617328
2019 [YR2019],710129571,656288183,51.9701657,48.0298343,1366417754
