,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
0,2,Ravet,1000,4500,2.0,45.0,2022.0,1.0
1,1,Tathawade,670,5373,1.0,36.0,2026.0,5.0
2,2,Tathawade,1100,5363,2.0,59.0,2025.0,4.0
3,2,Ravet,1100,4909,2.0,54.0,2025.0,4.0
4,1,Bavdhan,664,5647,1.0,37.5,2024.0,3.0
5,3,Bavdhan,1374,5822,3.0,80.0,2024.0,3.0
6,3,Bavdhan,1018,8349,,85.0,2023.0,2.0
7,1,Bavdhan,492,7621,,37.5,2023.0,2.0
8,2,Bavdhan,774,7881,,61.0,2023.0,2.0
9,3,Bavdhan,891,7863,,70.06,2023.0,2.0
10,5,Aundh,3132,17500,,548.0,2020.0,-1.0
11,5,Aundh,3897,17500,,681.0,2020.0,-1.0
12,4,Aundh,2585,17500,,451.99999999999994,2020.0,-1.0
13,5,Aundh,3773,17500,,660.0,2020.0,-1.0
14,3,Aundh,1851,17500,,323.0,2020.0,-1.0
15,4,Aundh,2104,17500,,368.0,2020.0,-1.0
16,4,Aundh,2103,17500,,368.0,2020.0,-1.0
17,6,Aundh,3863,17500,,676.0,2020.0,-1.0
18,4,Aundh,2363,17500,,413.0,2020.0,-1.0
19,5,Aundh,3771,17500,,659.0,2020.0,-1.0
20,1,Bavdhan,600,5666,1.0,34.0,2024.0,3.0
21,2,Sangamvadi,1800,12222,3.0,220.00000000000003,2010.0,-11.0
23,1,Ambegaon 1,610,5245,1.0,31.99,2020.0,-1.0
25,2,Kharadi,916,6550,2.0,60.0,2024.0,3.0
26,1,Mundhwa,680,6617,1.0,45.0,2020.0,-1.0
27,2,Mundhwa,801,6117,2.0,49.0,2020.0,-1.0
29,4,Baner,3159,9500,,300.0,2016.0,-5.0
30,3,Baner,2238,9500,,212.0,2016.0,-5.0
31,3,Baner,2087,12458,2.0,260.0,2016.0,-5.0
32,1,Hinjewadi,905,7016,2.0,63.5,2022.0,1.0
40,3,Baner,957,14374,,137.0,2025.0,4.0
41,2,Baner,849,12573,,106.0,2025.0,4.0
42,2,Baner,855,12577,,107.0,2025.0,4.0
43,3,Baner,1021,14376,,146.0,2025.0,4.0
44,3,Baner,974,14371,,139.0,2025.0,4.0
45,3,Baner,982,14374,,141.0,2025.0,4.0
46,2,Baner,792,12571,,99.56,2025.0,4.0
47,3,Baner,951,14367,,136.0,2025.0,4.0
48,3,Baner,957,14367,,137.0,2025.0,4.0
49,3,Baner,905,14380,,129.0,2025.0,4.0
50,3,Baner,956,14380,,137.0,2025.0,4.0
51,2,Baner,668,12574,,83.99,2025.0,4.0
52,2,Hinjewadi,560,7891,,44.19,2024.0,3.0
53,1,Hinjewadi,394,8154,,32.04,2024.0,3.0
54,2,Manjari,992,7056,2.0,70.0,2025.0,4.0
63,2,Tathawade,532,10422,,55.44,2024.0,3.0
64,2,Tathawade,530,10455,,55.3,2024.0,3.0
65,2,Tathawade,499,11046,,55.0,2024.0,3.0
66,2,Tathawade,526,10505,,55.25,2024.0,3.0
67,2,Tathawade,502,10984,,55.02,2024.0,3.0
68,2,Tathawade,688,8995,,61.88,2024.0,3.0
69,2,Tathawade,500,11004,,55.02,2024.0,3.0
70,2,Tathawade,664,9235,,61.22,2024.0,3.0
71,2,Tathawade,497,11066,,54.99,2024.0,3.0
72,2,Tathawade,529,10453,,55.29,2024.0,3.0
75,2,Tathawade,494,10119,,49.99,2023.0,2.0
76,2,Tathawade,538,10130,,54.4,2023.0,2.0
77,2,Tathawade,536,10125,,54.27,2023.0,2.0
78,2,Tathawade,499,10122,,50.51,2023.0,2.0
79,2,Tathawade,554,10132,,56.03,2023.0,2.0
80,1,Dhanori,406,6075,1.0,24.66,2020.0,-1.0
81,1,Dhanori,610,4500,1.0,27.45,2020.0,-1.0
82,1,Dhanori,650,4500,1.0,29.25,2020.0,-1.0
83,2,Dhanori,890,4500,2.0,40.05,2020.0,-1.0
84,2,Dhanori,1040,4500,2.0,46.8,2020.0,-1.0
85,2,Dhanori,1045,4500,2.0,47.02,2020.0,-1.0
86,2,Dhanori,703,6075,2.0,42.72,2020.0,-1.0
87,2,Dhanori,707,6075,2.0,42.95,2020.0,-1.0
88,2,Dhanori,709,6075,2.0,43.09,2020.0,-1.0
89,2,Dhanori,712,6075,2.0,43.22,2020.0,-1.0
90,2,Dhanori,702,6075,2.0,42.67,2020.0,-1.0
91,2,Dhanori,702,6075,2.0,42.62,2020.0,-1.0
92,2,Dhanori,702,6075,2.0,42.63,2020.0,-1.0
93,2,Dhanori,702,6075,2.0,42.64,2020.0,-1.0
94,2,Dhanori,703,6075,2.0,42.68,2020.0,-1.0
95,1,Dhanori,410,6075,1.0,24.91,2020.0,-1.0
96,1,Dhanori,410,6075,1.0,24.92,2020.0,-1.0
97,1,Dhanori,415,6075,1.0,25.18,2020.0,-1.0
98,1,Dhanori,415,6075,1.0,25.19,2020.0,-1.0
99,1,Dhanori,406,6075,1.0,24.67,2020.0,-1.0
100,2,Dhanori,580,6075,2.0,35.23,2020.0,-1.0
101,2,Dhanori,580,6075,2.0,35.25,2020.0,-1.0
102,2,Dhanori,582,6075,2.0,35.36,2020.0,-1.0
103,2,Dhanori,609,6075,2.0,36.97,2020.0,-1.0
104,2,Dhanori,610,6075,2.0,37.05,2020.0,-1.0
105,2,Dhanori,1050,4500,2.0,47.25,2020.0,-1.0
106,2,Dhanori,1180,4500,2.0,53.1,2020.0,-1.0
107,2,Dhanori,1285,4500,2.0,57.82,2020.0,-1.0
108,2,Dhanori,802,6075,2.0,48.7,2020.0,-1.0
109,2,Dhanori,838,6075,2.0,50.88,2020.0,-1.0
110,2,Dhanori,804,6075,2.0,48.87,2020.0,-1.0
111,2,Dhanori,736,6075,2.0,44.68,2020.0,-1.0
112,2,Dhanori,733,6075,2.0,44.55,2020.0,-1.0
113,2,Dhanori,730,6075,2.0,44.35,2020.0,-1.0
114,2,Dhanori,801,6075,2.0,48.66,2020.0,-1.0
115,2,Dhanori,802,6075,2.0,48.72,2020.0,-1.0
116,2,Dhanori,837,6075,2.0,50.87,2020.0,-1.0
123,2,Mundhwa,780,4499,2.0,35.09,2023.0,2.0
124,2,Mundhwa,896,4499,2.0,40.31,2023.0,2.0
125,2,Mundhwa,976,4499,2.0,43.91,2023.0,2.0
126,2,Mundhwa,949,4499,2.0,42.69,2023.0,2.0
127,2,Mundhwa,952,4499,2.0,42.83,2023.0,2.0
128,2,Mundhwa,953,4499,2.0,42.87,2023.0,2.0
129,3,Mundhwa,1243,4499,3.0,55.92,2023.0,2.0
130,3,Kharadi,1380,6300,3.0,86.94,2021.0,0.0
131,3,Kharadi,1384,6300,3.0,87.19,2021.0,0.0
132,3,Kharadi,1558,6100,3.0,95.03,2021.0,0.0
133,3,Kharadi,1565,6100,3.0,95.46,2021.0,0.0
134,3,Kharadi,1151,9355,3.0,107.0,2021.0,0.0
135,3,Kharadi,1572,9355,3.0,147.0,2021.0,0.0
136,3,Kharadi,1156,9355,3.0,108.0,2021.0,0.0
137,3,Kharadi,1022,9355,3.0,95.65,2021.0,0.0
138,3,Kharadi,1018,9355,3.0,95.21,2021.0,0.0
139,3,Kharadi,1424,9355,3.0,133.0,2021.0,0.0
153,2,Mundhwa,1750,6000,3.0,105.0,2018.0,-3.0
154,2,Wadgaon Sheri,1097,11000,3.0,120.0,2019.0,-2.0
155,3,Wadgaon Sheri,1513,11000,4.0,166.0,2019.0,-2.0
156,3,Wadgaon Sheri,1192,11000,3.0,131.0,2019.0,-2.0
157,3,Wadgaon Sheri,1249,11000,3.0,137.0,2019.0,-2.0
158,2,Wadgaon Sheri,1098,11000,2.0,120.0,2019.0,-2.0
