,Year,Male,Female,Male (%),Female ( %),Population
0,1960,232504741,218042938,51.604913700000004,48.395086299999996,450547679
1,1961,237313421,222328744,51.6300374,48.3699626,459642165
2,1962,242296454,226780736,51.65385560000001,48.34614439999999,469077190
3,1963,247438411,231387197,51.6761023,48.3238977,478825608
4,1964,252717316,236130819,51.696487700000006,48.303512299999994,488848135
5,1965,258120907,241002417,51.7148557,48.2851443,499123324
6,1966,263638001,245993499,51.731103999999995,48.268896000000005,509631500
7,1967,269283161,251117415,51.7453619,48.2546381,520400576
8,1968,275100841,256412983,51.7579842,48.2420158,531513824
9,1969,281151625,261932711,51.7694225,48.2305775,543084336
10,1970,287477047,267712745,51.7799591,48.2200409,555189792
11,1971,294098353,273769665,51.7899132,48.2100868,567868018
12,1972,300998427,280088829,51.79917879999999,48.20082120000001,581087256
13,1973,308133554,286636580,51.8071666,48.1928334,594770134
14,1974,315439602,293362998,51.8131167,48.1868833,608802600
15,1975,322871273,300231624,51.81668629999999,48.18331370000001,623102897
16,1976,330405802,307224285,51.8177873,48.1822127,637630087
17,1977,338059110,314349666,51.817069700000005,48.182930299999995,652408776
18,1978,345870436,321629370,51.815810799999994,48.184189200000006,667499806
19,1979,353898050,329097304,51.815586700000004,48.184413299999996,682995354
20,1980,362179439,336773405,51.8174354,48.1825646,698952844
21,1981,370724073,344660920,51.8216172,48.1783828,715384993
22,1982,379503286,352736218,51.8277536,48.1722464,732239504
23,1983,388469530,360959428,51.83540429999999,48.16459570000001,749428958
24,1984,397556537,369276873,51.8439249,48.1560751,766833410
25,1985,406713090,377646918,51.8528591,48.1471409,784360008
26,1986,415921167,386054077,51.8620955,48.1379045,801975244
27,1987,425183249,394498853,51.871725299999994,48.128274700000006,819682102
28,1988,434493471,402975459,51.881742200000005,48.118257799999995,837468930
29,1989,443851779,411482899,51.8921762,48.1078238,855334678
30,1990,453257378,420020420,51.903000299999995,48.096999700000005,873277798
31,1991,462697153,428576056,51.914177200000005,48.085822799999995,891273209
32,1992,472162605,437144411,51.9255429,48.0744571,909307016
33,1993,481663760,445740100,51.9367862,48.0632138,927403860
34,1994,491216889,454384942,51.947539899999995,48.052460100000005,945601831
35,1995,500830599,463091989,51.957553999999995,48.042446000000005,963922588
36,1996,510502544,471862699,51.966674100000006,48.033325899999994,982365243
37,1997,520217327,480682703,51.9749537,48.0250463,1000900030
38,1998,529954036,489529545,51.9825965,48.0174035,1019483581
39,1999,539685381,498372775,51.9898984,48.0101016,1038058156
40,2000,549387865,507187684,51.99702620000001,48.00297379999999,1056575549
41,2001,559042840,515957245,52.003981,47.996019,1075000085
42,2002,568640651,524676538,52.010583600000004,47.989416399999996,1093317189
43,2003,578176498,533346646,52.0165955,47.9834045,1111523144
44,2004,587649479,541973977,52.0217136,47.9782864,1129623456
45,2005,597052215,550557712,52.0257102,47.9742898,1147609927
46,2006,606386475,559099816,52.0286236,47.9713764,1165486291
47,2007,615629521,567579951,52.030476,47.969524,1183209472
48,2008,624720985,575948780,52.0310416,47.9689584,1200669765
49,2009,633583575,584142640,52.0300513,47.9699487,1217726215
50,2010,642164185,592116985,52.02738239999999,47.97261760000001,1234281170
51,2011,650437004,599851725,52.0229439,47.9770561,1250288729
52,2012,658421676,607361114,52.0169559,47.9830441,1265782790
53,2013,666167747,614678382,52.00997460000001,47.99002539999999,1280846129
54,2014,673749546,621854638,52.0027301,47.9972699,1295604184
55,2015,681223338,628929065,51.995732399999994,48.004267600000006,1310152403
56,2016,688600704,635908885,51.9891067,48.0108933,1324509589
57,2017,695871194,642787641,51.982714,48.017286,1338658835
58,2018,703042609,649574719,51.9764604,48.0235396,1352617328
59,2019,710129571,656288183,51.9701657,48.0298343,1366417754
